C,NEMP.WORLD,NEXT_DAY_ACTUAL_GEN,AEMO,PUBLIC,2015/12/02,04:10:19,0000000266511400,NEXT_DAY_ACTUAL_GEN,0000000266511400
I,METER_DATA,GEN_DUID,1,INTERVAL_DATETIME,DUID,MWH_READING,LASTCHANGED
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",ANGAS1,0,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",ANGAS2,0,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",BUTLERSG,-0.000002,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",CALL_A_4,0,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",CAPTL_WF,41.151993,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",CATHROCK,40.439999,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",CHALLHWF,8.90,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",CLOVER,-0.01,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",CLUNY,7.330770,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",CNUNDAWF,37.143330,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",CULLRGWF,7.46,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",ERGT01,0,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",GB01,0.190258,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",GERMCRK,33.900002,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",INVICTA,0,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",LKBONNY1,45.369156,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",MBAHNTH,45.712502,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",MLWF1,7.44,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",MTMILLAR,15.723491,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",PALOONA,0,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",PIONEER,-1,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",PORTWF,45.900002,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",REPULSE,11.775990,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",ROWALLAN,0,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",RPCG,11.20,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",RUBICON,0,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",STARHLWF,19.794228,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",WAUBRAWF,29.794001,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",WOOLNTH1,83.430016,"2015/12/01 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/12/01 04:05:00",WPWF,15,"2015/12/01 04:00:04"
