C,NEMP.WORLD,NEXT_DAY_ACTUAL_GEN,AEMO,PUBLIC,2016/04/28,04:10:20,0000000270795371,NEXT_DAY_ACTUAL_GEN,0000000270795371
I,METER_DATA,GEN_DUID,1,INTERVAL_DATETIME,DUID,MWH_READING,LASTCHANGED
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",ANGAS1,0,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",ANGAS2,0,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",BUTLERSG,-0.000002,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",CALL_A_4,0,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",CAPTL_WF,0,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",CATAGUN1,20.280001,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",CATHROCK,48.019997,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",CHALLHWF,43.299999,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",CLOVER,0,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",CLUNY,8.688320,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",CNUNDAWF,40.547302,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",CULLRGWF,2.76,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",ERGT01,0,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",GB01,0.150536,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",GEORGTN1,7.3880,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",GEORGTN2,7.9190,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",INVICTA,0,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",LKBONNY1,74.037460,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",MBAHNTH,59.681252,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",MEADOWB2,21.76,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",MLWF1,14.7150,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",MTMILLAR,52.200798,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",PALOONA,11.91,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",PIONEER,-0.20,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",PORTLAT1,7.1005,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",PORTWF,100.199997,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",QUERIVE1,24.6120,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",REPULSE,14.234085,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",ROWALLAN,0,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",ROYALLA1,0,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",RPCG,-0.40,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",RUBICON,0,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",STARHLWF,26.692217,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",WAUBRAWF,172.507004,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",WOOLNTH1,88.310013,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",WPWF,76,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:05:00",YAMBUKWF,18.60,"2016/04/27 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",ANGAS1,0,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",ANGAS2,0,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",BUTLERSG,-0.000002,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",CALL_A_4,0,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",CAPTL_WF,0,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",CATAGUN1,20.320002,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",CATHROCK,48.019997,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",CHALLHWF,43.200001,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",CLOVER,0,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",CLUNY,8.173881,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",CNUNDAWF,40.847649,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",CULLRGWF,1.72,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",ERGT01,0,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",GB01,0.150536,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",GEORGTN1,7.41,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",GEORGTN2,7.95,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",INVICTA,0,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",LKBONNY1,75.198486,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",MBAHNTH,59.681252,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",MEADOWB2,21.85,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",MLWF1,14.0250,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",MTMILLAR,53.614651,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",PALOONA,11.90,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",PIONEER,-0.20,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",PORTLAT1,7.1357,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",PORTWF,101.699997,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",QUERIVE1,24.7220,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",REPULSE,13.281335,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",ROWALLAN,0,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",ROYALLA1,0,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",RPCG,-0.40,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",RUBICON,0,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",STARHLWF,26.592245,"2016/04/27 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/04/27 04:10:00",WAUBRAWF,172.645996,"2016/04/27 04:05:05"
