C,NEMP.WORLD,NEXT_DAY_ACTUAL_GEN,AEMO,PUBLIC,2016/02/25,04:10:20,0000000268975886,NEXT_DAY_ACTUAL_GEN,0000000268975886
I,METER_DATA,GEN_DUID,1,INTERVAL_DATETIME,DUID,MWH_READING,LASTCHANGED
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",ANGAS1,0,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",ANGAS2,0,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",BUTLERSG,7.199998,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",CALL_A_4,0,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",CAPTL_WF,0,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",CATHROCK,10.16,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",CHALLHWF,4,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",CLOVER,-0.02,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",CLUNY,7.730890,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",CNUNDAWF,0,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",CULLRGWF,3.33,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",ERGT01,0,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",GB01,0.143040,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",GERMCRK,42,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",INVICTA,0,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",LKBONNY1,-0.538647,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",MBAHNTH,50.043751,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",MLWF1,4.56,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",MTMILLAR,2.559811,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",PALOONA,0,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",PIONEER,26.90,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",PORTWF,35.200001,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",REPULSE,14.386525,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",ROWALLAN,0,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",RPCG,16.90,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",RUBICON,0,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",STARHLWF,-0.099971,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",WAUBRAWF,0,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",WOOLNTH1,21.700016,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",WPWF,0,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:05:00",YAMBUKWF,1,"2016/02/24 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",ANGAS1,0,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",ANGAS2,0,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",BUTLERSG,7.299998,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",CALL_A_4,0,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",CAPTL_WF,0,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",CATHROCK,6.78,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",CHALLHWF,4.70,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",CLOVER,-0.02,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",CLUNY,8.1453,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",CNUNDAWF,0,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",CULLRGWF,4.32,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",ERGT01,0,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",GB01,0.143040,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",GERMCRK,41.50,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",INVICTA,0,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",LKBONNY1,-0.538647,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",MBAHNTH,50.043751,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",MLWF1,4.50,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",MTMILLAR,2.559811,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",PALOONA,0,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",PIONEER,26.90,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",PORTWF,36,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",REPULSE,15.091559,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",ROWALLAN,0,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",RPCG,16.90,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",RUBICON,0,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",STARHLWF,-0.099971,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",WAUBRAWF,0,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",WOOLNTH1,21.410015,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",WPWF,0,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:10:00",YAMBUKWF,2.10,"2016/02/24 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",ANGAS1,0,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",ANGAS2,0,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",BUTLERSG,7.299998,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",CALL_A_4,0,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",CAPTL_WF,0,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",CATHROCK,4.94,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",CHALLHWF,5.70,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",CLOVER,-0.01,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",CLUNY,9.274210,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",CNUNDAWF,0,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",CULLRGWF,4.28,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",ERGT01,0,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",GB01,0.143040,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",GERMCRK,41.799999,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",INVICTA,0,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",LKBONNY1,-0.270719,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",MBAHNTH,50.043751,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",MLWF1,2.19,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",MTMILLAR,2.500281,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",PALOONA,0,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",PIONEER,26.90,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",PORTWF,33.700001,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",REPULSE,14.843844,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",ROWALLAN,0,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",RPCG,16.90,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",RUBICON,0,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",STARHLWF,-0.099971,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",WAUBRAWF,0.3550,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",WOOLNTH1,19.870014,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",WPWF,0,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:15:00",YAMBUKWF,4.30,"2016/02/24 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:20:00",ANGAS1,0,"2016/02/24 04:15:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:20:00",ANGAS2,0,"2016/02/24 04:15:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:20:00",BUTLERSG,7.299998,"2016/02/24 04:15:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:20:00",CALL_A_4,0,"2016/02/24 04:15:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:20:00",CAPTL_WF,5.900002,"2016/02/24 04:15:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:20:00",CATHROCK,5.91,"2016/02/24 04:15:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:20:00",CHALLHWF,5.20,"2016/02/24 04:15:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:20:00",CLOVER,-0.01,"2016/02/24 04:15:04"
D,METER_DATA,GEN_DUID,1,"2016/02/24 04:20:00",CLUNY,9.188470,"2016/02/24 04:15:04"
