C,NEMP.WORLD,NEXT_DAY_ACTUAL_GEN,AEMO,PUBLIC,2016/01/16,04:10:24,0000000267834188,NEXT_DAY_ACTUAL_GEN,0000000267834188
I,METER_DATA,GEN_DUID,1,INTERVAL_DATETIME,DUID,MWH_READING,LASTCHANGED
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",ANGAS1,0,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",ANGAS2,0,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",BUTLERSG,8.499998,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",CALL_A_4,0,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",CAPTL_WF,55.508003,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",CATHROCK,24.449999,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",CHALLHWF,29.10,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",CLOVER,0,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",CLUNY,3.7154,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",CNUNDAWF,1.101285,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",CULLRGWF,16.620001,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",ERGT01,0,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",GB01,0.189304,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",GERMCRK,28.50,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",INVICTA,0,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",LKBONNY1,2.500662,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",MBAHNTH,56.906254,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",MLWF1,1.8150,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",MTMILLAR,53.651855,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",PALOONA,0,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",PIONEER,27.300001,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",PORTWF,25.60,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",REPULSE,5.506895,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",ROWALLAN,0,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",RPCG,-2.40,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",RUBICON,0,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",STARHLWF,12.196444,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",WAUBRAWF,103.7910,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",WOOLNTH1,36.230015,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",WPWF,54,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:05:00",YAMBUKWF,7.90,"2016/01/15 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",ANGAS1,0,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",ANGAS2,0,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",BUTLERSG,8.499998,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",CALL_A_4,0,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",CAPTL_WF,59.50,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",CATHROCK,25.609999,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",CHALLHWF,31.10,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",CLOVER,-0.01,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",CLUNY,4.7157,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",CNUNDAWF,1.101285,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",CULLRGWF,16.76,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",ERGT01,0,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",GB01,0.191082,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",GERMCRK,28.50,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",INVICTA,0,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",LKBONNY1,2.322043,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",MBAHNTH,56.906254,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",MLWF1,1.50,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",MTMILLAR,55.497299,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",PALOONA,0,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",PIONEER,27.300001,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",PORTWF,34,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",REPULSE,8.060265,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",ROWALLAN,0,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",RPCG,-2.40,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",RUBICON,0,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",STARHLWF,10.696880,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",WAUBRAWF,99.717003,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",WOOLNTH1,37.140015,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",WPWF,57,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:10:00",YAMBUKWF,9.80,"2016/01/15 04:05:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",ANGAS1,0,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",ANGAS2,0,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",BUTLERSG,8.499998,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",CALL_A_4,0,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",CAPTL_WF,60.295998,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",CATHROCK,26.149998,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",CHALLHWF,32.699997,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",CLOVER,-0.02,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",CLUNY,7.402220,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",CNUNDAWF,1.101285,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",CULLRGWF,15.22,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",ERGT01,0,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",GB01,0.191082,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",GERMCRK,28.200001,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",INVICTA,0,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",LKBONNY1,2.054115,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",MBAHNTH,56.906254,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",MLWF1,2.13,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",MTMILLAR,54.961525,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",PALOONA,0,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",PIONEER,27.300001,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",PORTWF,31.299999,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",REPULSE,12.233310,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",ROWALLAN,0,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",RPCG,-2.40,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",RUBICON,0,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",STARHLWF,12.396385,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",WAUBRAWF,99.422997,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",WOOLNTH1,34.960014,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",WPWF,52,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:15:00",YAMBUKWF,11.30,"2016/01/15 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:20:00",ANGAS1,0,"2016/01/15 04:15:05"
D,METER_DATA,GEN_DUID,1,"2016/01/15 04:20:00",ANGAS2,0,"2016/01/15 04:15:05"
