C,NEMP.WORLD,NEXT_DAY_ACTUAL_GEN,AEMO,PUBLIC,2016/03/31,04:10:35,0000000270004187,NEXT_DAY_ACTUAL_GEN,0000000270004187
I,METER_DATA,GEN_DUID,1,INTERVAL_DATETIME,DUID,MWH_READING,LASTCHANGED
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",ANGAS1,0,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",ANGAS2,0,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",BUTLERSG,6.499999,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",CALL_A_4,0,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",CAPTL_WF,0,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",CATAGUN1,19.470001,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",CATHROCK,0,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",CHALLHWF,12.50,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",CLOVER,-0.01,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",CLUNY,4.358450,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",CNUNDAWF,0,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",CULLRGWF,7.71,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",ERGT01,0,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",GB01,0.143124,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",GEORGTN1,0,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",GEORGTN2,1.9640,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",INVICTA,0,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",LKBONNY1,-0.360028,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",MBAHNTH,42.862503,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",MEADOWB2,0,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",MLWF1,0.90,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",MTMILLAR,1.637089,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",PALOONA,0,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",PIONEER,-0.30,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",PORTLAT1,-0.000732,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",PORTWF,4.60,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",REPULSE,6.535865,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",ROWALLAN,0,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",RPCG,-1,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",RUBICON,0,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",STARHLWF,-0.099971,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",WAUBRAWF,102.7230,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",WOOLNTH1,8.760015,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",WPWF,10,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:05:00",YAMBUKWF,1.10,"2016/03/30 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",ANGAS1,0,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",ANGAS2,0,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",BUTLERSG,6.499999,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",CALL_A_4,0,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",CAPTL_WF,0,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",CATAGUN1,19.340002,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",CATHROCK,0,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",CHALLHWF,11.60,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",CLOVER,-0.01,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",CLUNY,4.444190,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",CNUNDAWF,0,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",CULLRGWF,6.91,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",ERGT01,0,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",GB01,0.143124,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",GEORGTN1,0,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",GEORGTN2,1.9630,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",INVICTA,0,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",LKBONNY1,-0.449338,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",MBAHNTH,42.862503,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",MEADOWB2,0,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",MLWF1,0.33,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",MTMILLAR,1.443614,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",PALOONA,0,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",PIONEER,-0.30,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",PORTLAT1,-0.000732,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",PORTWF,4,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",REPULSE,6.974130,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",ROWALLAN,0,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",RPCG,-1,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",RUBICON,0,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",STARHLWF,0.199942,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",WAUBRAWF,96.349998,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",WOOLNTH1,9.850016,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",WPWF,10,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:10:00",YAMBUKWF,0.40,"2016/03/30 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:15:00",ANGAS1,0,"2016/03/30 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:15:00",ANGAS2,0,"2016/03/30 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:15:00",BUTLERSG,6.599998,"2016/03/30 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:15:00",CALL_A_4,0,"2016/03/30 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:15:00",CAPTL_WF,0,"2016/03/30 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:15:00",CATAGUN1,19.470001,"2016/03/30 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:15:00",CATHROCK,0,"2016/03/30 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:15:00",CHALLHWF,14.50,"2016/03/30 04:10:04"
D,METER_DATA,GEN_DUID,1,"2016/03/30 04:15:00",CLOVER,-0.02,"2016/03/30 04:10:04"
