C,NEMP.WORLD,NEXT_DAY_ACTUAL_GEN,AEMO,PUBLIC,2015/10/10,04:10:25,0000000265018379,NEXT_DAY_ACTUAL_GEN,0000000265018379
I,METER_DATA,GEN_DUID,1,INTERVAL_DATETIME,DUID,MWH_READING,LASTCHANGED
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",ANGAS1,0,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",ANGAS2,0,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",BUTLERSG,-0.000002,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",CALL_A_4,0,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",CAPTL_WF,0,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",CATHROCK,27.869999,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",CHALLHWF,8.60,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",CLOVER,-0.02,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",CLUNY,2.900870,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",CNUNDAWF,1.802102,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",CULLRGWF,3.66,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",ERGT01,0,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",GB01,0,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",GERMCRK,33.700001,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",INVICTA,37.174999,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",LKBONNY1,4.197540,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",MBAHNTH,45.843754,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",MLWF1,0.51,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",MTMILLAR,54.321575,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",PALOONA,0,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",PIONEER,44.200001,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",PORTWF,13.80,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",REPULSE,4.287375,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",ROWALLAN,0,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",RPCG,9.270243,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",RUBICON,0,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",STARHLWF,7.697755,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",WAUBRAWF,59.5340,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",WOOLNTH1,42.850014,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",WPWF,53,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:05:00",YAMBUKWF,2.20,"2015/10/09 04:00:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",ANGAS1,0,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",ANGAS2,0,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",BUTLERSG,-0.000002,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",CALL_A_4,0,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",CAPTL_WF,0,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",CATHROCK,22.619999,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",CHALLHWF,8.60,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",CLOVER,0,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",CLUNY,2.743680,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",CNUNDAWF,1.802102,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",CULLRGWF,3.60,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",ERGT01,0,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",GB01,0,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",GERMCRK,33.799999,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",INVICTA,37.174999,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",LKBONNY1,4.018921,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",MBAHNTH,45.843754,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",MLWF1,0.09,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",MTMILLAR,55.832161,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",PALOONA,0,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",PIONEER,44.600002,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",PORTWF,12.90,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",REPULSE,4.230210,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",ROWALLAN,0,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",RPCG,9.314139,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",RUBICON,0,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",STARHLWF,7.497814,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",WAUBRAWF,56.9440,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",WOOLNTH1,44.930016,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",WPWF,53,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:10:00",YAMBUKWF,1.80,"2015/10/09 04:05:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",ANGAS1,0,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",ANGAS2,0,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",BUTLERSG,-0.000002,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",CALL_A_4,0,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",CAPTL_WF,0,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",CATHROCK,15.639999,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",CHALLHWF,7,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",CLOVER,-0.01,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",CLUNY,3.158090,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",CNUNDAWF,2.202569,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",CULLRGWF,3.72,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",ERGT01,0,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",GB01,0,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",GERMCRK,33.299999,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",INVICTA,37.174999,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",LKBONNY1,4.733396,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",MBAHNTH,45.843754,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",MLWF1,0.0150,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",MTMILLAR,54.076012,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",PALOONA,0,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",PIONEER,46.299999,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",PORTWF,11.60,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",REPULSE,4.611310,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",ROWALLAN,0,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",RPCG,9.209546,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",RUBICON,0,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",STARHLWF,7.997668,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",WAUBRAWF,56.5770,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",WOOLNTH1,53.050018,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",WPWF,53,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:15:00",YAMBUKWF,1.30,"2015/10/09 04:10:05"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",ANGAS1,0,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",ANGAS2,0,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",BUTLERSG,-0.000002,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",CALL_A_4,0,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",CAPTL_WF,0,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",CATHROCK,10.039999,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",CHALLHWF,6.20,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",CLOVER,-0.02,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",CLUNY,3.029480,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",CNUNDAWF,2.603036,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",CULLRGWF,4.02,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",ERGT01,0,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",GB01,0,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",GERMCRK,33.599998,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",INVICTA,37.174999,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",LKBONNY1,5.269252,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",MBAHNTH,45.843754,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",MLWF1,0.2250,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",MTMILLAR,55.556831,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",PALOONA,0,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",PIONEER,43.400002,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",PORTWF,10.70,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",REPULSE,4.058715,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",ROWALLAN,0,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",RPCG,4.993543,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",RUBICON,0,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",STARHLWF,6.897988,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",WAUBRAWF,56.122002,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",WOOLNTH1,51.030018,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",WPWF,50,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:20:00",YAMBUKWF,1.10,"2015/10/09 04:15:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",ANGAS1,0,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",ANGAS2,0,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",BUTLERSG,-0.000002,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",CALL_A_4,0,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",CAPTL_WF,0,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",CATHROCK,6.70,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",CHALLHWF,5.80,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",CLOVER,-0.01,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",CLUNY,2.600780,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",CNUNDAWF,2.603036,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",CULLRGWF,3.77,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",ERGT01,0,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",GB01,0,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",GERMCRK,35.900002,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",INVICTA,37.174999,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",LKBONNY1,5.894418,"2015/10/09 04:20:04"
D,METER_DATA,GEN_DUID,1,"2015/10/09 04:25:00",MBAHNTH,45.843754,"2015/10/09 04:20:04"
